aleatoric,epistemic
1.538636088371276855e-01,1.110780332237482071e-02
8.097577095031738281e-02,1.452902238816022873e-02
4.340618848800659180e-02,1.991004217416048050e-03
5.024808645248413086e-02,3.783726133406162262e-03
4.411846399307250977e-02,1.958034234121441841e-03
1.215218305587768555e-01,1.999429985880851746e-02
1.559237837791442871e-01,1.852892152965068817e-02
1.241020560264587402e-01,1.985252834856510162e-02
7.230180501937866211e-02,2.801892347633838654e-02
3.313201665878295898e-02,3.436930244788527489e-03
1.943868398666381836e-02,3.109517740085721016e-03
1.663213968276977539e-02,2.117749536409974098e-03
1.164793968200683594e-03,5.318100193107966334e-06
2.950179576873779297e-02,6.215180736035108566e-03
7.605552673339843750e-03,3.415361570660024881e-04
4.157066345214843750e-02,3.530563320964574814e-03
3.375756740570068359e-02,3.095683408901095390e-03
7.462638616561889648e-02,1.236106920987367630e-02
5.604070425033569336e-02,3.356969449669122696e-03
1.138511300086975098e-01,9.141015820205211639e-03
4.672783613204956055e-02,4.472481552511453629e-03
2.209704816341400146e-01,1.991016417741775513e-02
1.779863834381103516e-01,2.002702839672565460e-02
1.773604154586791992e-01,2.569358423352241516e-02
1.934868693351745605e-01,1.721057295799255371e-02
1.513729095458984375e-01,2.869525738060474396e-02
6.349730491638183594e-02,8.231028914451599121e-03
6.108957529067993164e-02,9.652079083025455475e-03
1.777279376983642578e-02,3.211286093574017286e-04
2.539908885955810547e-02,2.755030523985624313e-03
1.823729276657104492e-02,8.928143070079386234e-04
2.699691057205200195e-02,3.678256412968039513e-03
5.582743883132934570e-02,2.650217525660991669e-02
8.433341979980468750e-03,1.306271733483299613e-04
5.541008710861206055e-02,8.921142667531967163e-03
6.828230619430541992e-02,5.780939478427171707e-03
2.303141355514526367e-02,2.291854238137602806e-03
2.978354692459106445e-02,4.388987552374601364e-03
2.248615026473999023e-02,5.953682702966034412e-04
3.392493724822998047e-02,6.089539383538067341e-04
7.253992557525634766e-02,1.035979017615318298e-02
1.089364290237426758e-01,1.916359551250934601e-02
8.053547143936157227e-02,9.098531678318977356e-03
1.772515177726745605e-01,3.869425505399703979e-02
2.282493114471435547e-01,1.679679006338119507e-02
1.716201901435852051e-01,4.032294824719429016e-02
2.050783634185791016e-01,3.170561045408248901e-02
1.920471191406250000e-01,2.937423251569271088e-02
1.692271232604980469e-01,2.581809274852275848e-02
1.004974842071533203e-01,2.114069648087024689e-02
1.999593079090118408e-01,2.765485085546970367e-02
5.541044473648071289e-02,1.592675596475601196e-02
8.000105619430541992e-02,1.118058245629072189e-02
1.066792011260986328e-02,1.561021636007353663e-04
2.847003936767578125e-02,1.671088044531643391e-03
7.264077663421630859e-03,7.523127715103328228e-05
4.075247049331665039e-02,3.316581016406416893e-03
1.234232187271118164e-01,1.311789080500602722e-02
9.847319126129150391e-02,3.858540439978241920e-03
1.255106925964355469e-01,1.936025358736515045e-02
1.329494118690490723e-01,2.406450733542442322e-02
1.418299674987792969e-01,1.874745264649391174e-02
1.798298358917236328e-01,2.258112840354442596e-02
1.972216963768005371e-01,3.495741635560989380e-02
2.024420201778411865e-01,2.501568384468555450e-02
1.946181654930114746e-01,1.550070103257894516e-02
1.717343628406524658e-01,5.636096373200416565e-02
1.619766354560852051e-01,4.632966592907905579e-02
1.949413418769836426e-01,1.729133352637290955e-02
1.661263108253479004e-01,3.001231141388416290e-02
1.765391230583190918e-01,3.642724081873893738e-02
1.823337674140930176e-01,6.427264306694269180e-03
1.594320535659790039e-01,2.069283276796340942e-02
1.620233654975891113e-01,3.868941217660903931e-02
2.229442298412322998e-01,1.209859270602464676e-02
1.367867588996887207e-01,1.215046457946300507e-02
2.090499401092529297e-01,1.826269179582595825e-02
1.458096504211425781e-01,3.314066678285598755e-02
5.017018318176269531e-02,3.965013194829225540e-03
3.772860765457153320e-02,4.918949212878942490e-03
4.156363010406494141e-02,8.170031942427158356e-03
1.991063356399536133e-02,6.079685315489768982e-02
2.335304021835327148e-02,8.761620265431702137e-04
2.137565612792968750e-02,6.422136910259723663e-03
9.689033031463623047e-03,5.654982523992657661e-04
1.888799667358398438e-02,1.491697155870497227e-03
9.522438049316406250e-03,3.043421020265668631e-04
3.894537687301635742e-02,3.188556293025612831e-03
6.644928455352783203e-02,2.516734600067138672e-02
8.566689491271972656e-02,1.051919721066951752e-02
1.367480158805847168e-01,6.830572616308927536e-03
1.211971044540405273e-01,1.652487926185131073e-02
1.674998402595520020e-01,2.685477957129478455e-02
1.913550496101379395e-01,2.417750284075737000e-02
1.913096308708190918e-01,2.063072100281715393e-02
1.511346697807312012e-01,2.285658754408359528e-02
2.173808217048645020e-01,3.016783855855464935e-02
1.440824270248413086e-01,1.925283670425415039e-02
1.603595018386840820e-01,1.612208411097526550e-02
8.526313304901123047e-02,1.420631539076566696e-02
1.793519258499145508e-01,4.273906722664833069e-02
7.348656654357910156e-02,1.650894992053508759e-02
1.446852684020996094e-01,5.143629759550094604e-02
